Commodity,Edge,Flow,New Capacity,Switched,Changed Capacity
Methane,"('USA_LNG_exp', 'LV_LNG_imp')",7494.689125,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'PT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'FI_LNG_imp')",11669.45083333333,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'UK_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'SA_LNG_imp')",99377.29394723289,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'JS_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'HR_LNG_imp')",25402.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'EG_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'IE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'DE_LNG_imp')",304823.9999999999,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'UK_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'CN_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'EE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'IT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'EG_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'EE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'AF_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'BE_LNG_imp')",0.0,0.0,1.0,9999999.0
